com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
BOB CASEY FOR SENATE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00431056&tabIndex=3,Q1,S,P,Q,PO BOX 58746 LSNYDER@MBACG.COM,PHILADELPHIA,PA,19102.00,"LYONS, CHARLIE",C00431056,2020.00,69189.00,59391.66,128580.66,13273.00,,2750.00,300.00,,131330.66,13573.00,,,,,,,,,,,,141410.66,,190723.59,,,,10080.00,,,,,,,,,,,,,,,,,,,204296.59,117757.66,180643.59,488017.53,425131.60,,,43466.00,43555.00,,S6PA00217,,,,,,,,,,,,,,,,,,,,,
BOB CORKER FOR SENATE 2018 INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00430462&tabIndex=3,Q1,S,P,Q,4515 HARDING PIKE STE 110,NASHVILLE,TN,372054001.00,KIMBERLY KAEGI,C00430462,2020.00,,,,,,,,,,,,,,,,,,,,,30550.53,30550.53,,54497.53,,,,,,,,,,,,,,,,,,,,,,,54497.53,,54497.53,5451708.87,5427761.87,,,43466.00,43555.00,,S6TN00216,,,,,,,,,,,,,,,,,,,,,
BOB GRAY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00631895&tabIndex=3,Q1,H,P,Q,1007 FEATHERSTONE RD,JOHNS CREEK,GA,30022.00,"SATTERFIELD, DAVID",C00631895,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.21,68.21,276616.52,,43466.00,43555.00,,H8GA06252,,,,,,,,,,,,,,,,,,,,,
BOB HUGIN FOR SENATE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00671305&tabIndex=3,Q1,S,P,Q,PO BOX 8656,SOMERVILLE,NJ,88768656.00,"GILROY, AMBERLE",C00671305,2020.00,,,,,,,,,,,,175000.00,,,,175000.00,,,,,,179821.92,,74787.54,,,,179821.92,,,,,,,,,,,,,,,,,,,249787.54,,-105034.38,122972.96,53007.34,75000.00,,43466.00,43555.00,,S8NJ00509,,,,,,,,,,,,,,,,,,,,,
BOB MARSHALL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00558528&tabIndex=3,Q1,H,P,Q,7930 WILLOW POND COURT,MANASSAS,VA,20111.00, MARY ROSE LALLI,C00558528,2020.00,,,,,,,,,,,,,,,,,,,,,,,,38.85,,,,,,,,,,,,,,,,,,,,,,,38.85,,38.85,26528.53,26489.68,10475.96,,43466.00,43555.00,,H4VA00049,,,,,,,,,,,,,,,,,,,,,
BOB MARSHALL FOR SENATE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00511956&tabIndex=3,Q1,S,P,Q,7930 WILLOW POND COURT,MANASSAS,VA,20111.00,MARY ROSE LALLI,C00511956,2020.00,,,,,,,,,,,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,,,,,,,,,,44.00,,44.00,3269.00,3224.00,12492.00,,43466.00,43555.00,,S8VA00263,,,,,,,,,,,,,,,,,,,,,
BOB MUSSELWHITE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00673194&tabIndex=3,Q1,H,P,Q,PO BOX 53 916 CASTILLO DR,LITCHFIELD PARK,AZ,853400053.00,ROBERT R MUSSELWHITE,C00673194,2020.00,9.00,,,,,,,,9.00,,,,,,,,,,,,,9.00,,309.00,,,,,,,,,,,,,,,,,,,,,,,309.00,,,407.00,106.00,,,43465.00,43555.00,,H8AZ08232,,,,,,,,,,,,,,,,,,,,,
BOB RACKLEFF CAMPAIGN COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00648519&tabIndex=3,TER,H,P,T,502 D HILLCREST STREET,TALLAHASSEE,FL,32308.00,"MORING, MARY ESTHER",C00648519,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.99,61.99,,,43466.00,43555.00,,H8FL02097,,,,,,,,,,,,,,,,,,,,,
BOB SCHAFFER FOR US SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00434985&tabIndex=3,Q1,S,P,Q,PO BOX 102135,DENVER,CO,80250.00,TRACI L MAY,C00434985,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90870.00,90870.00,,,43466.00,43555.00,,S4CO00171,,,,,,,,,,,,,,,,,,,,,
BOB STUMP ELECTION COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00109140&tabIndex=3,Q1,H,A,A,PO BOX 130,TOLLESON,AZ,85353.00,JOHN D ATKINS,C00109140,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13484.68,13484.68,,,43466.00,43555.00,,H6AZ03112,,,,,,,,,,,,,,,,,,,,,
BOBBY KAPLE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00658922&tabIndex=3,Q1,H,P,Q,PO BOX 965,ALPHARETTA,GA,30009.00,"MAY, JENNIFER",C00658922,2020.00,,,,,,,,,,,,,,,,,,,,,,549.50,,2826.05,,,,549.50,,,,,,,,,,,,,,,,,,,2826.05,,2276.55,2981.93,705.38,215591.92,,43466.00,43555.00,,H8GA06369,,,,,,,,,,,,,,,,,,,,,
BOBBY MAHENDRA FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00608240&tabIndex=3,Q1,S,P,Q,4575 DEAN MARTIN DR UNIT 1604,LAS VEGAS,NV,891038207.00,"MR SUJEET BOBBY"" NARENDRA MAHENDRA""",C00608240,2020.00,,,,,,,,,,,,,,,,,,,,,,,,53.00,,,,,,,,,,,,,,,,,,,,,,,53.00,,53.00,3209.00,3156.00,32000.00,,43466.00,43555.00,,S6NV00234,,,,,,,,,,,,,,,,,,,,,
BOERIO FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00675041&tabIndex=3,Q1,H,P,Q,PO BOX 469,LATROBE,PA,15650.00,"GIARRAPUTO, HOLLY",C00675041,2020.00,,,,,,,,,,,,,,,,,,,,,,85.80,,5648.15,,,,85.80,,,,,,,,,,,,,,,,,,,5648.15,,5562.35,23636.89,18074.54,227500.00,,43466.00,43555.00,,H8PA14065,,,,,,,,,,,,,,,,,,,,,
BONAMICI FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00500421&tabIndex=3,Q1,H,P,Q,PO BOX 1632,BEAVERTON,OR,97075.00,"JACKSON, SUE",C00500421,2020.00,29975.00,9009.21,38984.21,100.00,,53000.00,,,91984.21,100.00,,,,,,,,,,,,91984.21,,67628.72,,,,,,,,,,,,,,,,,,,,,18750.00,,86478.72,91884.21,67628.72,458748.99,464254.48,,,43466.00,43555.00,,H2OR01133,,,,,,,,,,,,,,,,,,,,,
BONNIE WATSON COLEMAN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00558437&tabIndex=3,Q1,H,P,Q,918 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003.00,"WATSON, AARON T.",C00558437,2020.00,25505.00,14550.66,40055.66,15.00,,39500.00,,,79555.66,15.00,,,,,,,,,,,,82055.66,,73341.06,,,,2500.00,,,,,,,,,,,,,,,,,1000.00,,74356.06,79540.66,70841.06,149372.42,157072.02,7550.00,,43466.00,43555.00,,H4NJ12149,,,,,,,,,,,,,,,,,,,,,
BOOZMAN FOR ARKANSAS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00476317&tabIndex=3,Q1,S,P,Q,PO BOX 671,ROGERS,AR,72757.00,RICK J TANNEBERGER,C00476317,2020.00,9800.00,150.00,9950.00,,,19000.00,,,28950.00,,,,,,,,,,,,,28950.00,,31056.66,,,,,,,,,,,,,,,,,,,,,11500.00,,42556.66,28950.00,31056.66,497112.80,483506.14,,,43466.00,43555.00,,S0AR00150,,,,,,,,,,,,,,,,,,,,,
BOPHA MALONE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00661413&tabIndex=3,Q1,H,P,Q,P.O. BOX 9206,LOWELL,MA,1853.00,"ASLANIAN, JOSH MR.",C00661413,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6656.83,6656.83,12954.92,,43466.00,43555.00,,H8MA03213,,,,,,,,,,,,,,,,,,,,,
BOREN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00410829&tabIndex=3,Q1,H,P,Q,3600 NW 174TH STREET,EDMOND,OK,73012.00,"WINPISINGER, VICKIE",C00410829,2020.00,,,,,,,,,,,,,,,,,,,,,55258.78,55258.78,,2200.76,,,,,,,,,,,,,,,,,,,,,500.00,,2700.76,,2200.76,279877.50,332435.52,,,43466.00,43555.00,,H4OK02089,,,,,,,,,,,,,,,,,,,,,
BOVILLE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00699132&tabIndex=3,Q1,H,P,Q,10430 MORADO CIRCLE APT 2035,AUSTIN,TX,78759.00,"BOVILLE, BRUCE B",C00699132,2020.00,,,,,,,,2000.00,2000.00,,,,,,,,,,,,,2000.00,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,,,2000.00,,,43538.00,43555.00,,H0TX21122,,,,,,,,,,,,,,,,,,,,,
BOYD MELSON FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00637587&tabIndex=3,Q1,H,P,Q,425 JEFFERSON AVENUE,STATEN ISLAND,NY,10306.00,"MANN, SAM",C00637587,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9079.14,9079.14,,,43466.00,43555.00,,H8NY11063,,,,,,,,,,,,,,,,,,,,,
BRADY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00311043&tabIndex=3,Q1,H,P,Q,PO BOX 8277,THE WOODLANDS,TX,773878277.00,"KARLINS, MICHAEL J. MR.",C00311043,2020.00,124502.05,730.00,125232.05,,,267350.00,,,392582.05,,,,,,,,31633.67,,,,9877.69,434094.10,,267177.54,,,,0.69,,,,,,,,,,,,,,,,,27500.00,,294677.54,392582.05,267176.85,722637.18,862053.74,,,43466.00,43555.00,,H6TX08100,,,,,,,,,,,,,,,,,,,,,
BRANDON BROWN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00672162&tabIndex=3,TER,H,P,T,133 CHICK SPRINGS RD,TAYLORS,SC,29687.00,"BROWN, BENNIE FRANK JR",C00672162,2020.00,,,,,,,,,,,,193.66,,,,193.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.66,,,193.66,,,,43431.00,43480.00,,H8SC04300,,,,,,,,,,,,,,,,,,,,,
BRANDON PETERS FOR U.S. CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00665612&tabIndex=3,TER,H,P,T,1630 NE 120TH AVENUE,WILLISTON,FL,32696.00,"MCCRADY, STACY CPA",C00665612,2020.00,18.00,200.00,218.00,,,,,,218.00,,,4522.53,,,,4522.53,,,,,,218.00,,,,,,,,,,,,,,,,,,,,,,,,,4522.53,218.00,,4304.53,,0.73,,43374.00,43494.00,,H8FL02105,,,,,,,,,,,,,,,,,,,,,
BRANNON FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00614628&tabIndex=3,Q1,H,P,Q,PO BOX 10842,RALEIGH,NC,27605.00,"BRANNON, GREGORY",C00614628,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.52,326.52,40826.59,,43466.00,43555.00,,H6NC02148,,,,,,,,,,,,,,,,,,,,,
BRAYDEN FOR OUR FUTURE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00658062&tabIndex=3,Q1,H,P,Q,1606 RIDGEVIEW AVE NE #J-402,ISSAQUAH,WA,98029.00,"LO, ANDY",C00658062,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.07,170.07,18144.24,,43466.00,43555.00,,H8WA08213,,,,,,,,,,,,,,,,,,,,,
BRAYDEN FOR OUR FUTURE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00658062&tabIndex=3,TER,H,P,Q,1606 RIDGEVIEW AVE NE #J-402,ISSAQUAH,WA,98029.00,"LO, ANDY",C00658062,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.07,170.07,18144.24,,43191.00,43646.00,,H8WA08213,,,,,,,,,,,,,,,,,,,,,
BREDESEN FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00663658&tabIndex=3,Q1,S,P,Q,2997 POLO CLUB RD,NASHVILLE,TN,37221.00,"LODGE, VIRGINIA T.",C00663658,2020.00,,,,,,,,,,,,,,,,,,,,,,,,91651.01,,,,,,,,,,,,,,,,,,,,,,,91651.01,,91651.01,159995.83,68344.82,37524.59,,43466.00,43555.00,,S8TN00386,,,,,,,,,,,,,,,,,,,,,
BRENDA LAWRENCE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00552588&tabIndex=3,Q1,H,P,Q,P.O. BOX 3060,SOUTHFIELD,MI,48037.00,"ANGERHOLZER, LINDSAY",C00552588,2020.00,14800.00,6327.00,21127.00,,,62000.00,,,83127.00,,,,,,,,,,,,16.64,83143.64,,47500.67,,,,,,,,,,,,,,,,,,,,,1590.00,,49090.67,83127.00,47500.67,596093.17,630146.14,,,43466.00,43555.00,,H2MI14111,,,,,,,,,,,,,,,,,,,,,
BRENDAN KELLY FOR SOUTHERN ILLINOIS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00649558&tabIndex=3,Q1,H,P,Q,PO BOX 736,BELLEVILLE,IL,62222.00,"HOERNER, GARRETT",C00649558,2020.00,,,,,,,,,,,,,,,,,,,,,,,,1606.91,,,,,,,,,,,,,,,,,,,,,,,1606.91,,1606.91,4059.75,2452.84,,,43466.00,43555.00,,H8IL12129,,,,,,,,,,,,,,,,,,,,,
BRENT 4 CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00611061&tabIndex=3,Q1,H,P,Q,1 WINDSOR CT,JACKSON,NJ,8527.00,BRITTANY BRINKMAN,C00611061,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.46,323.46,5836.28,,43466.00,43555.00,,H6NJ06229,,,,,,,,,,,,,,,,,,,,,
BRENT BEAL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00640722&tabIndex=3,Q1,H,P,Q,2534 CAROLE ST,NACOGDOCHES,TX,75965.00,"BEAL, BRENT",C00640722,2020.00,,116.68,116.68,,,,,,116.68,,,,,,,,,,,,,116.68,,533.93,,,,,,,,,,,,,,,,,,,,,,,533.93,116.68,533.93,667.23,249.98,,,43466.00,43555.00,,H8TX01044,,,,,,,,,,,,,,,,,,,,,
BRENT OTTAWAY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00674887&tabIndex=3,TER,H,P,T,PO BOX 287,HOLLIDAYSBURG,PA,16648.00,"MCGAHAGAN, THOMAS A",C00674887,2020.00,217.00,,217.00,,,1.10,,,218.10,,,,,,,,,,,,,218.10,,5223.00,,,,,,,,,,,,,,,,,,,,,,,5223.00,218.10,5223.00,760.32,-4244.58,,,43466.00,43555.00,,H8PA13133,,,,,,,,,,,,,,,,,,,,,
BRENT WALTZ FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00582676&tabIndex=3,Q1,H,P,Q,1527 ASHWOOD CT.,GREENWOOD,IN,46143.00,"COLLINS, MARK STEVEN MR.",C00582676,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120844.00,,43466.00,43555.00,,H6IN09150,,,,,,,,,,,,,,,,,,,,,
BRENT WELDER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00651158&tabIndex=3,TER,H,P,T,PO BOX 860313,SHAWNEE,KS,66286.00,"MELE, STEVEN",C00651158,2020.00,,,,,,,,,,,,,,,,,,,,,,,,111.67,,,,,,,,,,,,,,,,,,,,,187.10,,298.77,,111.67,298.77,,,,43466.00,43487.00,,H8KS03122,,,,,,,,,,,,,,,,,,,,,
BRIAN BURLEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00700187&tabIndex=3,Q1,H,P,Q,5267 WARNER AVENUE #304,HUNTINGTON BEACH,CA,92649.00,"BURLEY, BRIAN JOHN MR.",C00700187,2020.00,,,,,,,,271.75,271.75,,500.00,,,,500.00,,,,,,,771.75,,271.75,,,,,,,,,,,,,,,,,,,,,,,271.75,271.75,271.75,,500.00,625.00,,43466.00,43555.00,,H0CA48172,,,,,,,,,,,,,,,,,,,,,
BRIAN FITZPATRICK FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00607416&tabIndex=3,Q1,H,P,Q,PO BOX 939,LANGHORNE,PA,19047.00,"MARTIN, STEVEN",C00607416,2020.00,54600.00,767.54,55367.54,600.00,,232785.18,,,288152.72,600.00,,,,,,,149523.96,,,,,439764.24,,88603.23,,,,2087.56,,,,,,,,,,,,,,,,,600.00,,89803.23,287552.72,86515.67,116634.82,466595.83,24750.00,,43466.00,43555.00,,H6PA08277,,,,,,,,,,,,,,,,,,,,,
BRIAN FLYNN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00633867&tabIndex=3,TER,H,P,T,PO BOX 170,TANNERSVILLE,NY,12485.00,"MAY, JENNIFER",C00633867,2020.00,,,,,,,,,,,,3174.60,,,,3174.60,,,,,,,,326.95,,,,,,,,,,,,,,,,,,,,,,,3501.55,,326.95,3501.55,,,,43466.00,43506.00,,H8NY19173,,,,,,,,,,,,,,,,,,,,,
BRIAN FORDE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00650911&tabIndex=3,Q1,H,P,Q,2913 EL CAMINO REAL #616,TUSTIN,CA,92782.00,"FORDE, BRIAN",C00650911,2020.00,,,,,,,,,,,,,,,,,,,,,,489.00,,130.85,,,,489.00,,,,,,,,,,,,,,,,,,,130.85,,-358.15,224638.38,224996.53,,,43466.00,43555.00,,H8CA45189,,,,,,,,,,,,,,,,,,,,,
BRIAN HERR FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00556324&tabIndex=3,Q1,S,P,Q,138 CONANT STREET 2ND FLOOR,BEVERLY,MA,1915.00,BRADLEY CRATE,C00556324,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,6.61,90843.74,,43466.00,43555.00,,S4MA00234,,,,,,,,,,,,,,,,,,,,,
BRIAN HIGGINS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00401034&tabIndex=3,Q1,H,P,Q,PO BOX 28,BUFFALO,NY,14220.00,"GIARRAPUTO, HOLLY",C00401034,2020.00,2250.00,100.00,2350.00,,,69750.00,,,72100.00,,,,,,,,,,,,718.23,72818.23,,68001.56,,,,,,,,,,,,,,,,,,,,,68200.00,,136201.56,72100.00,68001.56,970989.74,907606.41,,540.12,43466.00,43555.00,,H4NY27076,,,,,,,,,,,,,,,,,,,,,
BRIANNA WU FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00633669&tabIndex=3,Q1,H,P,Q,689 MAIN ST. NO. 302,WALPOLE,MA,2081.00,"WU, FRANK",C00633669,2020.00,14523.00,8820.90,23343.90,,,,,,23343.90,,,,,,,,,,,,1746.00,25089.90,,38994.46,,,,,,,,,,,,,,,,,,,,,,,38994.46,23343.90,38994.46,65802.46,51897.90,,,43466.00,43555.00,,H8MA08170,,,,,,,,,,,,,,,,,,,,,
BRIER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00697037&tabIndex=3,Q1,H,P,Q,"151 W. CHOCOLATE AVE., SUITE 145 PO BOX 633",HERSHEY,PA,17033.00,"LEVIN, HARRISON",C00697037,2020.00,85250.00,7776.00,93026.00,,,,,7000.00,100026.00,,,,,,,,,,,,,100026.00,,8526.98,,,,,,,,,,,,,,,,,,,,,,,8526.98,100026.00,8526.98,,91499.02,,,43466.00,43555.00,,H0PA10102,,,,,,,,,,,,,,,,,,,,,
BRIGHT FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00673525&tabIndex=3,Q1,H,P,Q,PO BOX 170583,SPARTANBURG,SC,29301.00,"PHILLIPS, ROBERT",C00673525,2020.00,,,,,,,,,,,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,,,,,,,,,60.00,,60.00,2572.49,2512.49,510.00,,43466.00,43555.00,,H8SC04342,,,,,,,,,,,,,,,,,,,,,
BRILL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00664342&tabIndex=3,TER,H,P,Q,426 S ALARCON,PRESCOTT,AZ,86303.00,"BRILL, DAVID",C00664342,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227612.63,,43466.00,43466.00,,H8AZ04140,,,,,,,,,,,,,,,,,,,,,
BRILL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00664342&tabIndex=3,Q1,H,P,Q,426 S ALARCON,PRESCOTT,AZ,86303.00,"BRILL, DAVID",C00664342,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43467.00,43555.00,,H8AZ04140,,,,,,,,,,,,,,,,,,,,,
BRINDISI FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00648725&tabIndex=3,Q1,H,P,Q,PO BOX 165,UTICA,NY,13503.00,"MAY, JENNIFER",C00648725,2020.00,246033.00,43225.18,289258.18,135.27,,94700.00,,,383958.18,135.27,,,,,,,,,,,,457678.64,,69851.89,,,,73720.46,,,,,,,,,,,,,,,,,250.00,,70237.16,383822.91,-3868.57,4862.61,392304.09,27500.00,,43466.00,43555.00,,H8NY22151,,,,,,,,,,,,,,,,,,,,,
BRINKLEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00507012&tabIndex=3,Q1,H,P,A,8923 FINGERBOARD RD,FREDERICK,MD,21704.00,MICHAEL A MCGINLEY,C00507012,2020.00,,,,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,12.00,,12.00,6367.34,6355.34,13322.80,,43466.00,43555.00,,H2MD06187,,,,,,,,,,,,,,,,,,,,,
BRINKMAN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00411215&tabIndex=3,Q1,H,P,Q,PO BOX 9714,CINCINNATI,OH,45209.00,"KINTNER, WILLIAM K.",C00411215,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8476.82,8476.82,74370.00,,43466.00,43555.00,,H6OH02102,,,,,,,,,,,,,,,,,,,,,
BRISCOE 4 CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00671784&tabIndex=3,Q1,H,P,Q,3843 S BRISTON ST #604,SANTA ANA,CA,92704.00,"RAY, LYSA MS.",C00671784,2020.00,,,,,,,,,,,,,,,,,,,,,755.11,755.11,,2500.00,,,,,,,,,,,,,,,,,,,,,,,2500.00,,2500.00,6626.09,4881.20,48708.00,,43466.00,43555.00,,H8CA47078,,,,,,,,,,,,,,,,,,,,,
BRITTAIN FOR US SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00656298&tabIndex=3,Q1,S,P,Q,8625 E SHARON DR,SCOTTSDALE,AZ,85260.00,"BRITTAIN, CRAIG R R",C00656298,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466.00,43555.00,,S8AZ00189,,,,,,,,,,,,,,,,,,,,,
BRITTANY PETTERSEN FOR COLORADO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00637215&tabIndex=3,Q1,H,P,Q,1718 S CODY STREET,LAKEWOOD,CO,80232.00,"SCHNELLER, LUCINDA MS.",C00637215,2020.00,,,,,,,,,,,,,,,,,,,,,,,,454.00,,,,,,,,,,,,,,,,,,,,,,,454.00,,454.00,55057.00,54603.00,,,43466.00,43555.00,,H8CO07045,,,,,,,,,,,,,,,,,,,,,
